,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
3368,470,480;480;480,3,4.360996244100049;3.53721227116612;3.0735956035205927,0.009982174443491254;0.00844541300281187;0.007556372684374808,0.01206450995505003;0.01053162198600818;0.009640893658583501,0.03260968105157197;0.0;0.0,0.07346;0.04124345620378866;0.02875607998558818,10.0
3369,470,490;490;490,3,4.130984027729697;3.4298028852338387;3.0442437038112793,0.00939594017612639;0.008115305567313678;0.007404744173526951,0.011437594636402261;0.010165215449447304;0.009455946250684638,0.03137495842480158;0.0;0.0,0.06502;0.0386664099602105;0.02720535873241944,10.0
3370,470,500;500;500,3,3.8727617343561294;3.2386708651851954;2.8306298904170326,0.008754367366089148;0.007587461556407339;0.006800698383666105,0.010757580438215153;0.009586735836309587;0.00879798290299851,0.029408571463301825;0.0;0.0,0.05609;0.0350172702422072;0.024805639741731455,10.0
3371,470,510;510;510,3,3.662995286639896;3.057444513050556;2.7959263305245687,0.008234487973776794;0.007080669690441999;0.006621344975151963,0.010198870418528556;0.009032277596716393;0.00858890048233152,0.028035676545092786;0.0;0.0,0.05024;0.029302448012634905;0.021966935693829733,10.0
3372,470,520;520;520,3,3.4309433388451462;2.9941863355044704;2.6987572119605203,0.007641734330032401;0.006869169383932547;0.006326547792482878,0.009561274350043121;0.008801954625959129;0.008253398930070297,0.026799186776254764;0.0;0.0,0.04359;0.029130680273531443;0.0213354873451804,10.0
3373,470,530;530;530,3,3.3240589583787155;2.894635165425291;2.5813987723896896,0.007384440649451112;0.0065973947638481405;0.005997804462590702,0.009281331174223244;0.008496285278457414;0.007893324377524635,0.02584603050153311;0.0;0.0,0.0407;0.025249155581502022;0.01899566821755174,10.0
3374,470,540;540;540,3,3.113783033829657;2.760181385772679;2.527951029268078,0.0068389132855986795;0.006205333270724647;0.00579053027085679,0.008695456371892025;0.008060416628889453;0.0076385007602310356,0.024549015048456066;0.0;0.0,0.03493;0.023035075902802963;0.018551124310564278,10.0
3375,470,550;550;550,3,2.8917069429879705;2.6069977004803455;2.4427318032769416,0.006318727594032737;0.005820508463375696;0.005549590534192181,0.008130199293407664;0.007636025764857719;0.007371049153430576,0.023258438984618632;0.0;0.0,0.02957;0.02142437576644442;0.017186183656276326,10.0
3376,470,560;560;560,3,2.776775458060864;2.445088348486269;2.268684974251466,0.006090909017166726;0.0054622206145200644;0.005141654697025791,0.007884862499050368;0.00725570347064307;0.006929264820229108,0.022170032053102605;0.0;0.0,0.02897;0.01812564366632338;0.014264736731697085,10.0
3377,470,570;570;570,3,2.5549303268833983;2.447306201308808;2.2434845905497873,0.0055345992042679535;0.005406254550451861;0.005022642567604744,0.007277748834565714;0.007164582643422878;0.006772423202316727,0.02130707852141726;0.0;0.0,0.02096;0.019387129724208377;0.013312361329569483,10.0
